query,gui_ranking,rerank_time_seconds,input_tokens,output_tokens,total_tokens,id_score_map
football match details with upcoming match information,"[57925, 30357, 57923, 57926, 15554, 24991, 51475, 43109, 53563, 43102, 54752, 51476, 13890, 13906, 13896, 13895, 13915, 13898, 10622, 13903]",9.06215720000182,3731,120,3851,"{57925: 1.0, 30357: 0.9, 57923: 0.9, 57926: 0.8, 15554: 0.8, 24991: 0.7, 51475: 0.7, 43109: 0.7, 53563: 0.6, 43102: 0.5, 54752: 0.5, 51476: 0.3, 13890: 0.0, 13906: 0.0, 13896: 0.0, 13895: 0.0, 13915: 0.0, 13898: 0.0, 10622: 0.0, 13903: 0.0}"
"SOY LUNA MUSICA-Disney Channel Latin America, all shows and broadcast musical TV series","[37236, 37233, 37232, 11383, 3989, 61538, 3991, 9015, 56998, 11384, 56994, 56991, 6257, 35694, 61463, 70058, 26031, 31527, 35701, 70056]",3.9663564000002225,3648,120,3768,"{37236: 1.0, 37233: 1.0, 37232: 0.8, 11383: 0.7, 3989: 0.4, 61538: 0.3, 3991: 0.3, 9015: 0.2, 56998: 0.2, 11384: 0.2, 56994: 0.2, 56991: 0.1, 6257: 0.1, 35694: 0.1, 61463: 0.1, 70058: 0.1, 26031: 0.1, 31527: 0.0, 35701: 0.0, 70056: 0.0}"
informations about Grace Chan,"[17255, 61853, 39318, 36565, 37862, 37842, 37852, 61860, 545, 27807, 1080, 30994, 30990, 50993, 29521, 66725, 39317, 43064, 70405, 29515]",4.469006200000877,3459,120,3579,"{17255: 1.0, 61853: 1.0, 39318: 0.9, 36565: 0.9, 37862: 0.7, 37842: 0.7, 37852: 0.7, 61860: 0.3, 545: 0.2, 27807: 0.2, 1080: 0.2, 30994: 0.1, 30990: 0.1, 50993: 0.1, 29521: 0.1, 66725: 0.1, 39317: 0.1, 43064: 0.1, 70405: 0.0, 29515: 0.0}"
UI for share and add location screen,"[22080, 12147, 49233, 59781, 12355, 68076, 41625, 41623, 31522, 40348, 40346, 12162, 39237, 7653, 40349, 15312, 18958, 12167, 15505, 39571]",4.859360700000252,3484,120,3604,"{22080: 1.0, 12147: 1.0, 49233: 0.9, 59781: 0.8, 12355: 0.7, 68076: 0.7, 41625: 0.6, 41623: 0.5, 31522: 0.4, 40348: 0.3, 40346: 0.2, 12162: 0.1, 39237: 0.0, 7653: 0.0, 40349: 0.0, 15312: 0.0, 18958: 0.0, 12167: 0.0, 15505: 0.0, 39571: 0.0}"
Months of a year from January to November with a radio button to choose,"[15298, 48591, 64533, 56729, 59581, 15356, 51056, 57993, 12409, 60976, 43422, 28181, 25408, 11977, 60445, 11640, 11642, 9559, 42782, 18499]",3.865429600002244,3709,120,3829,"{15298: 1.0, 48591: 0.9, 64533: 0.9, 56729: 0.5, 59581: 0.2, 15356: 0.2, 51056: 0.2, 57993: 0.2, 12409: 0.2, 60976: 0.2, 43422: 0.2, 28181: 0.1, 25408: 0.1, 11977: 0.1, 60445: 0.1, 11640: 0.1, 11642: 0.1, 9559: 0.0, 42782: 0.0, 18499: 0.0}"
emoticons of yellow faces to choose from,"[30432, 30433, 22255, 37354, 41700, 68987, 30431, 33561, 18792, 11632, 31181, 60631, 31179, 55875, 72194, 13309, 61838, 41478, 28001, 35887]",5.682377999997698,3357,120,3477,"{30432: 1.0, 30433: 1.0, 22255: 1.0, 37354: 0.8, 41700: 0.7, 68987: 0.6, 30431: 0.6, 33561: 0.4, 18792: 0.3, 11632: 0.2, 31181: 0.2, 60631: 0.2, 31179: 0.1, 55875: 0.1, 72194: 0.1, 13309: 0.1, 61838: 0.1, 41478: 0.0, 28001: 0.0, 35887: 0.0}"
Ui for user profile,"[3701, 62147, 47364, 39606, 49799, 1583, 40818, 67745, 60542, 10217, 10203, 40556, 40348, 40346, 39237, 41623, 7653, 24785, 7740, 40349]",5.301018500002101,3448,120,3568,"{3701: 1.0, 62147: 1.0, 47364: 0.9, 39606: 0.9, 49799: 0.9, 1583: 0.9, 40818: 0.9, 67745: 0.8, 60542: 0.8, 10217: 0.7, 10203: 0.6, 40556: 0.3, 40348: 0.2, 40346: 0.2, 39237: 0.1, 41623: 0.1, 7653: 0.1, 24785: 0.0, 7740: 0.0, 40349: 0.0}"
word levels,"[35547, 23247, 19209, 57064, 54891, 18097, 61828, 45690, 37849, 29265, 11674, 57067, 29258, 63973, 23179, 29261, 4252, 48413, 4250, 12117]",8.740088600003219,3618,120,3738,"{35547: 1.0, 23247: 0.9, 19209: 0.9, 57064: 0.8, 54891: 0.8, 18097: 0.8, 61828: 0.8, 45690: 0.7, 37849: 0.7, 29265: 0.6, 11674: 0.5, 57067: 0.5, 29258: 0.5, 63973: 0.3, 23179: 0.3, 29261: 0.3, 4252: 0.2, 48413: 0.2, 4250: 0.1, 12117: 0.1}"
contact details form,"[25713, 6861, 10286, 15513, 2837, 64299, 65494, 64300, 66701, 59279, 66696, 46777, 3372, 29981, 54543, 15867, 15038, 39054, 15043, 17044]",5.5277433000010205,3683,120,3803,"{25713: 1.0, 6861: 1.0, 10286: 1.0, 15513: 0.9, 2837: 0.8, 64299: 0.8, 65494: 0.7, 64300: 0.7, 66701: 0.6, 59279: 0.6, 66696: 0.5, 46777: 0.4, 3372: 0.3, 29981: 0.3, 54543: 0.3, 15867: 0.2, 15038: 0.1, 39054: 0.1, 15043: 0.1, 17044: 0.0}"
List of blocked accounts and contacts,"[35058, 44156, 19618, 3444, 44159, 44152, 57178, 44157, 63748, 44153, 44151, 2594, 27392, 10590, 31533, 37277, 48823, 43097, 66872, 52021]",4.126900799994473,3264,120,3384,"{35058: 1.0, 44156: 1.0, 19618: 1.0, 3444: 0.9, 44159: 0.9, 44152: 0.9, 57178: 0.9, 44157: 0.8, 63748: 0.7, 44153: 0.7, 44151: 0.7, 2594: 0.6, 27392: 0.5, 10590: 0.4, 31533: 0.3, 37277: 0.3, 48823: 0.3, 43097: 0.2, 66872: 0.1, 52021: 0.1}"
photo preview app with zoomIn zoomOut options,"[69708, 13306, 49337, 20273, 20276, 18795, 51574, 5847, 49456, 20057, 22596, 36316, 18796, 22591, 18799, 19983, 36321, 35897, 31109, 19988]",4.105928800003312,3891,120,4011,"{69708: 0.8, 13306: 0.8, 49337: 0.7, 20273: 0.7, 20276: 0.7, 18795: 0.6, 51574: 0.3, 5847: 0.1, 49456: 0.1, 20057: 0.0, 22596: 0.0, 36316: 0.0, 18796: 0.0, 22591: 0.0, 18799: 0.0, 19983: 0.0, 36321: 0.0, 35897: 0.0, 31109: 0.0, 19988: 0.0}"
page that display the questions  with options,"[30849, 44436, 56520, 52303, 4505, 7519, 59470, 59473, 59472, 50286, 66489, 6888, 59478, 37795, 30245, 71647, 37796, 37797, 2274, 60424]",6.314085999998497,3495,120,3615,"{30849: 1.0, 44436: 1.0, 56520: 0.9, 52303: 0.9, 4505: 0.4, 7519: 0.4, 59470: 0.4, 59473: 0.3, 59472: 0.3, 50286: 0.2, 66489: 0.2, 6888: 0.2, 59478: 0.1, 37795: 0.1, 30245: 0.1, 71647: 0.1, 37796: 0.0, 37797: 0.0, 2274: 0.0, 60424: 0.0}"
