query,gui_ranking,rerank_time_seconds,input_tokens,output_tokens,total_tokens,id_score_map
Login with radio button with calendar,"[64081, 22878, 59581, 9559, 47741, 59561, 59570, 65193, 35133, 22542, 59568, 35129, 29481, 71519, 35128, 9149, 71512, 33336, 54640, 71515]",14.930006099981256,67979,127,68106,"{64081: 1.0, 22878: 0.2, 59581: 0.1, 9559: 0.0, 47741: 0.0, 59561: 0.0, 59570: 0.0, 65193: 0.0, 35133: 0.0, 22542: 0.0, 59568: 0.0, 35129: 0.0, 29481: 0.0, 71519: 0.0, 35128: 0.0, 9149: 0.0, 71512: 0.0, 33336: 0.0, 54640: 0.0, 71515: 0.0}"
sign up with welcome Bonus,"[66116, 57558, 34735, 10119, 43632, 53432, 46962, 53421, 36003, 63920, 35776, 36001, 34739, 53258, 1851, 42979, 41205, 63931, 15879, 13707]",12.863222300016787,60590,120,60710,"{66116: 0.8, 57558: 0.8, 34735: 0.4, 10119: 0.4, 43632: 0.3, 53432: 0.2, 46962: 0.2, 53421: 0.2, 36003: 0.2, 63920: 0.2, 35776: 0.2, 36001: 0.1, 34739: 0.1, 53258: 0.1, 1851: 0.1, 42979: 0.1, 41205: 0.0, 63931: 0.0, 15879: 0.0, 13707: 0.0}"
a news and an advertisement,"[68816, 54133, 60725, 13837, 10809, 68882, 16515, 10078, 10090, 68886, 7743, 68871, 1565, 64701, 51334, 1570, 65048, 71379, 26746, 7758]",13.912030599953141,63041,120,63161,"{68816: 0.9, 54133: 0.8, 60725: 0.8, 13837: 0.8, 10809: 0.8, 68882: 0.8, 16515: 0.3, 10078: 0.2, 10090: 0.2, 68886: 0.2, 7743: 0.1, 68871: 0.1, 1565: 0.1, 64701: 0.1, 51334: 0.1, 1570: 0.1, 65048: 0.0, 71379: 0.0, 26746: 0.0, 7758: 0.0}"
a sreen to enter the personal details,"[15665, 57264, 32392, 20780, 2783, 20785, 31142, 66701, 58129, 23654, 65494, 68242, 58266, 53041, 50422, 20850, 37508, 19835, 48806, 49259]",13.553749400016386,58203,120,58323,"{15665: 0.8, 57264: 0.2, 32392: 0.2, 20780: 0.1, 2783: 0.1, 20785: 0.1, 31142: 0.1, 66701: 0.1, 58129: 0.0, 23654: 0.0, 65494: 0.0, 68242: 0.0, 58266: 0.0, 53041: 0.0, 50422: 0.0, 20850: 0.0, 37508: 0.0, 19835: 0.0, 48806: 0.0, 49259: 0.0}"
displays the latest news in page,"[3318, 70822, 53555, 47802, 15067, 39554, 71379, 18565, 36310, 23219, 23820, 20452, 54133, 36328, 56160, 65007, 68523, 1205, 16515, 42736]",16.338339800015092,70458,120,70578,"{3318: 0.9, 70822: 0.9, 53555: 0.8, 47802: 0.2, 15067: 0.2, 39554: 0.2, 71379: 0.2, 18565: 0.2, 36310: 0.2, 23219: 0.1, 23820: 0.1, 20452: 0.1, 54133: 0.1, 36328: 0.1, 56160: 0.1, 65007: 0.1, 68523: 0.1, 1205: 0.1, 16515: 0.1, 42736: 0.1}"
celebrity news,"[39166, 35531, 1565, 8198, 13837, 54133, 62454, 62518, 64845, 71379, 66386, 43051, 18870, 62374, 43824, 16515, 50096, 1570, 36553, 41590]",15.11897750000935,58111,120,58231,"{39166: 1.0, 35531: 0.9, 1565: 0.8, 8198: 0.3, 13837: 0.2, 54133: 0.2, 62454: 0.2, 62518: 0.2, 64845: 0.1, 71379: 0.1, 66386: 0.1, 43051: 0.1, 18870: 0.1, 62374: 0.1, 43824: 0.1, 16515: 0.0, 50096: 0.0, 1570: 0.0, 36553: 0.0, 41590: 0.0}"
2D graph with a point and its dimensions,"[54498, 61057, 28171, 54506, 54503, 68768, 36669, 28616, 18785, 20334, 20329, 44202, 54502, 54499, 12651, 51884, 10143, 28178, 64823, 2182]",14.595322899986058,58231,120,58351,"{54498: 0.9, 61057: 0.8, 28171: 0.8, 54506: 0.3, 54503: 0.3, 68768: 0.2, 36669: 0.2, 28616: 0.2, 18785: 0.2, 20334: 0.2, 20329: 0.2, 44202: 0.2, 54502: 0.1, 54499: 0.1, 12651: 0.1, 51884: 0.1, 10143: 0.1, 28178: 0.1, 64823: 0.0, 2182: 0.0}"
blood glucose tracker side bar,"[47499, 5803, 71582, 47502, 8520, 47505, 47504, 4688, 47503, 58146, 39596, 64939, 57507, 39600, 51782, 4503, 69142, 37821, 5816, 68962]",16.038640999991912,75320,120,75440,"{47499: 0.4, 5803: 0.3, 71582: 0.2, 47502: 0.2, 8520: 0.2, 47505: 0.1, 47504: 0.0, 4688: 0.0, 47503: 0.0, 58146: 0.0, 39596: 0.0, 64939: 0.0, 57507: 0.0, 39600: 0.0, 51782: 0.0, 4503: 0.0, 69142: 0.0, 37821: 0.0, 5816: 0.0, 68962: 0.0}"
Japanese anime books and ads,"[24769, 1616, 50541, 40153, 25345, 57209, 62637, 26793, 24714, 14602, 45340, 4000, 22219, 61351, 52517, 6968, 39171, 39173, 25397, 22216]",15.248332099989057,65500,120,65620,"{24769: 0.9, 1616: 0.8, 50541: 0.2, 40153: 0.2, 25345: 0.2, 57209: 0.2, 62637: 0.2, 26793: 0.1, 24714: 0.1, 14602: 0.1, 45340: 0.1, 4000: 0.1, 22219: 0.1, 61351: 0.1, 52517: 0.1, 6968: 0.1, 39171: 0.1, 39173: 0.1, 25397: 0.1, 22216: 0.0}"
"weather details with temperature, pressure and relative humidity","[35327, 46540, 26022, 51071, 53167, 25852, 36325, 54919, 66930, 28349, 54533, 63695, 65446, 36332, 54924, 29312, 58863, 68011, 37413, 25849]",21.143923299969174,63141,120,63261,"{35327: 0.9, 46540: 0.9, 26022: 0.9, 51071: 0.9, 53167: 0.8, 25852: 0.8, 36325: 0.7, 54919: 0.7, 66930: 0.6, 28349: 0.4, 54533: 0.4, 63695: 0.2, 65446: 0.2, 36332: 0.1, 54924: 0.1, 29312: 0.1, 58863: 0.0, 68011: 0.0, 37413: 0.0, 25849: 0.0}"
details for disclaimer,"[39263, 32973, 41826, 63619, 40654, 40640, 38067, 62943, 24293, 46418, 70874, 10772, 39211, 62940, 46997, 39212, 40641, 67984, 49259, 16662]",10.878860800003167,60542,96,60638,"{39263: 1.0, 32973: 0.8, 41826: 0.8, 63619: 0.2, 40654: 0.2, 40640: 0.2, 38067: 0.2, 62943: 0.1, 24293: 0.1, 46418: 0.1, 70874: 0.1, 10772: 0.1, 39211: 0.0, 62940: 0.0, 46997: 0.0, 39212: 0.0, 40641: 0.0, 67984: 0.0, 49259: 0.0, 16662: 0.0}"
information description with login button,"[13352, 12865, 61528, 27758, 63599, 71511, 16266, 32639, 5593, 61236, 29177, 7293, 46884, 63601, 69952, 61167, 19432, 25112, 33358, 42470]",18.616351799981203,75320,120,75440,"{13352: 0.8, 12865: 0.8, 61528: 0.8, 27758: 0.8, 63599: 0.4, 71511: 0.3, 16266: 0.3, 32639: 0.2, 5593: 0.2, 61236: 0.2, 29177: 0.2, 7293: 0.2, 46884: 0.2, 63601: 0.1, 69952: 0.1, 61167: 0.1, 19432: 0.1, 25112: 0.1, 33358: 0.1, 42470: 0.0}"
google map with details,"[60544, 53736, 12353, 63614, 12388, 2754, 24475, 2209, 42723, 16910, 56275, 13254, 57641, 2543, 13257, 56256, 2210, 70756, 63609, 2211]",17.5688630999648,65476,96,65572,"{60544: 0.8, 53736: 0.8, 12353: 0.2, 63614: 0.2, 12388: 0.2, 2754: 0.2, 24475: 0.2, 2209: 0.1, 42723: 0.1, 16910: 0.1, 56275: 0.1, 13254: 0.0, 57641: 0.0, 2543: 0.0, 13257: 0.0, 56256: 0.0, 2210: 0.0, 70756: 0.0, 63609: 0.0, 2211: 0.0}"
2D model of solunar clock,"[54641, 29683, 31205, 44683, 24037, 24042, 24027, 3856, 69797, 54642, 54643, 30607, 38688, 23601, 47241, 3294, 17913, 47254, 18248, 40998]",16.08752820000518,68003,134,68137,"{54641: 1.0, 29683: 0.8, 31205: 0.2, 44683: 0.2, 24037: 0.1, 24042: 0.1, 24027: 0.1, 3856: 0.1, 69797: 0.1, 54642: 0.0, 54643: 0.0, 30607: 0.0, 38688: 0.0, 23601: 0.0, 47241: 0.0, 3294: 0.0, 17913: 0.0, 47254: 0.0, 18248: 0.0, 40998: 0.0}"
add location by pinning the place,"[8574, 3920, 43184, 40686, 64888, 28150, 64891, 50631, 1469, 10610, 45909, 3924, 43193, 28124, 59525, 71246, 62872, 9898, 64897, 61703]",10.809778700000606,63093,120,63213,"{8574: 0.8, 3920: 0.8, 43184: 0.3, 40686: 0.2, 64888: 0.2, 28150: 0.2, 64891: 0.2, 50631: 0.2, 1469: 0.1, 10610: 0.1, 45909: 0.1, 3924: 0.1, 43193: 0.1, 28124: 0.1, 59525: 0.1, 71246: 0.1, 62872: 0.1, 9898: 0.1, 64897: 0.0, 61703: 0.0}"
various emojis,"[62124, 22928, 38291, 70500, 61714, 10909, 38363, 39106, 26243, 4205, 64948, 17567, 38349, 13442, 46156, 6854, 71, 2524, 70498, 37295]",13.658764899999369,65452,127,65579,"{62124: 1.0, 22928: 1.0, 38291: 1.0, 70500: 0.8, 61714: 0.2, 10909: 0.2, 38363: 0.2, 39106: 0.1, 26243: 0.1, 4205: 0.1, 64948: 0.1, 17567: 0.1, 38349: 0.1, 13442: 0.1, 46156: 0.0, 6854: 0.0, 71: 0.0, 2524: 0.0, 70498: 0.0, 37295: 0.0}"
football match details with upcoming match information,"[53563, 30357, 57926, 57923, 54752, 43102, 24991, 13906, 57925, 15554, 51476, 13890, 51475, 10622, 13896, 13895, 13915, 13898, 43109, 13903]",11.101355000049807,50818,127,50945,"{53563: 0.9, 30357: 0.8, 57926: 0.8, 57923: 0.8, 54752: 0.3, 43102: 0.2, 24991: 0.2, 13906: 0.2, 57925: 0.2, 15554: 0.2, 51476: 0.1, 13890: 0.1, 51475: 0.1, 10622: 0.1, 13896: 0.0, 13895: 0.0, 13915: 0.0, 13898: 0.0, 43109: 0.0, 13903: 0.0}"
"SOY LUNA MUSICA-Disney Channel Latin America, all shows and broadcast musical TV series","[31527, 37236, 37233, 37232, 56991, 6257, 9015, 35694, 61463, 56998, 11384, 11383, 70058, 61538, 3989, 26031, 3991, 56994, 35701, 70056]",14.69985259999521,60926,103,61029,"{31527: 0.1, 37236: 0.0, 37233: 0.0, 37232: 0.0, 56991: 0.0, 6257: 0.0, 9015: 0.0, 35694: 0.0, 61463: 0.0, 56998: 0.0, 11384: 0.0, 11383: 0.0, 70058: 0.0, 61538: 0.0, 3989: 0.0, 26031: 0.0, 3991: 0.0, 56994: 0.0, 35701: 0.0, 70056: 0.0}"
informations about Grace Chan,"[17255, 37842, 545, 27807, 61853, 30994, 30990, 37862, 50993, 39318, 37852, 66725, 36565, 43064, 70405, 29521, 39317, 1080, 61860, 29515]",17.504572499950882,60586,141,60727,"{17255: 0.2, 37842: 0.2, 545: 0.2, 27807: 0.2, 61853: 0.2, 30994: 0.1, 30990: 0.1, 37862: 0.1, 50993: 0.1, 39318: 0.1, 37852: 0.1, 66725: 0.1, 36565: 0.1, 43064: 0.1, 70405: 0.0, 29521: 0.0, 39317: 0.0, 1080: 0.0, 61860: 0.0, 29515: 0.0}"
UI for share and add location screen,"[12147, 12355, 68076, 7653, 12162, 49233, 18958, 39571, 40348, 39237, 59781, 40346, 41623, 22080, 40349, 41625, 31522, 15312, 12167, 15505]",17.11869219999062,70458,120,70578,"{12147: 0.4, 12355: 0.2, 68076: 0.2, 7653: 0.2, 12162: 0.2, 49233: 0.2, 18958: 0.2, 39571: 0.2, 40348: 0.1, 39237: 0.1, 59781: 0.1, 40346: 0.1, 41623: 0.1, 22080: 0.1, 40349: 0.1, 41625: 0.1, 31522: 0.1, 15312: 0.1, 12167: 0.1, 15505: 0.1}"
Months of a year from January to November with a radio button to choose,"[15298, 9559, 25408, 48591, 11977, 60445, 15356, 12409, 28181, 59581, 42782, 64533, 51056, 11640, 57993, 18499, 11642, 56729, 60976, 43422]",15.32200179999927,70626,134,70760,"{15298: 1.0, 9559: 1.0, 25408: 1.0, 48591: 1.0, 11977: 1.0, 60445: 1.0, 15356: 1.0, 12409: 1.0, 28181: 0.2, 59581: 0.2, 42782: 0.2, 64533: 0.2, 51056: 0.2, 11640: 0.2, 57993: 0.2, 18499: 0.0, 11642: 0.0, 56729: 0.0, 60976: 0.0, 43422: 0.0}"
emoticons of yellow faces to choose from,"[30432, 30433, 37354, 30431, 33561, 41478, 22255, 72194, 28001, 11632, 41700, 31179, 55875, 68987, 31181, 60631, 13309, 18792, 61838, 35887]",13.062093999993522,68051,127,68178,"{30432: 1.0, 30433: 1.0, 37354: 0.2, 30431: 0.2, 33561: 0.2, 41478: 0.1, 22255: 0.1, 72194: 0.1, 28001: 0.1, 11632: 0.0, 41700: 0.0, 31179: 0.0, 55875: 0.0, 68987: 0.0, 31181: 0.0, 60631: 0.0, 13309: 0.0, 18792: 0.0, 61838: 0.0, 35887: 0.0}"
Ui for user profile,"[49799, 67745, 3701, 1583, 10203, 24785, 10217, 47364, 39237, 39606, 40346, 41623, 40556, 7740, 7653, 62147, 40348, 40818, 60542, 40349]",12.639421400032006,72841,120,72961,"{49799: 0.9, 67745: 0.8, 3701: 0.8, 1583: 0.4, 10203: 0.4, 24785: 0.3, 10217: 0.3, 47364: 0.2, 39237: 0.2, 39606: 0.2, 40346: 0.2, 41623: 0.2, 40556: 0.2, 7740: 0.2, 7653: 0.2, 62147: 0.2, 40348: 0.1, 40818: 0.1, 60542: 0.1, 40349: 0.1}"
word levels,"[23247, 35547, 19209, 11674, 23179, 18097, 45690, 61828, 4252, 48413, 54891, 29261, 4250, 12117, 63973, 57064, 29265, 37849, 57067, 29258]",14.323516800010111,58063,96,58159,"{23247: 0.9, 35547: 0.9, 19209: 0.8, 11674: 0.3, 23179: 0.2, 18097: 0.2, 45690: 0.2, 61828: 0.2, 4252: 0.1, 48413: 0.1, 54891: 0.1, 29261: 0.1, 4250: 0.0, 12117: 0.0, 63973: 0.0, 57064: 0.0, 29265: 0.0, 37849: 0.0, 57067: 0.0, 29258: 0.0}"
contact details form,"[6861, 3372, 2837, 25713, 66701, 15513, 29981, 64300, 59279, 15867, 65494, 17044, 46777, 10286, 64299, 66696, 54543, 15038, 39054, 15043]",10.212849700008519,58087,120,58207,"{6861: 0.9, 3372: 0.8, 2837: 0.8, 25713: 0.4, 66701: 0.2, 15513: 0.2, 29981: 0.2, 64300: 0.2, 59279: 0.2, 15867: 0.2, 65494: 0.1, 17044: 0.1, 46777: 0.1, 10286: 0.1, 64299: 0.1, 66696: 0.1, 54543: 0.1, 15038: 0.0, 39054: 0.0, 15043: 0.0}"
List of blocked accounts and contacts,"[35058, 48823, 44159, 63748, 44156, 44153, 57178, 44151, 31533, 43097, 2594, 52021, 44157, 27392, 66872, 3444, 10590, 19618, 44152, 37277]",13.48732860002201,65524,72,65596,"{35058: 0.9, 48823: 0.8, 44159: 0.3, 63748: 0.2, 44156: 0.2, 44153: 0.2, 57178: 0.2, 44151: 0.2, 31533: 0.1, 43097: 0.1, 2594: 0.1, 52021: 0.1, 44157: 0.0, 27392: 0.0, 66872: 0.0, 3444: 0.0, 10590: 0.0, 19618: 0.0, 44152: 0.0, 37277: 0.0}"
photo preview app with zoomIn zoomOut options,"[51574, 69708, 19983, 49337, 13306, 20273, 36316, 36321, 5847, 18795, 49456, 20057, 20276, 18796, 22591, 18799, 35897, 22596, 31109, 19988]",16.008025599992834,58231,134,58365,"{51574: 1.0, 69708: 0.8, 19983: 0.3, 49337: 0.2, 13306: 0.2, 20273: 0.2, 36316: 0.2, 36321: 0.2, 5847: 0.1, 18795: 0.1, 49456: 0.1, 20057: 0.1, 20276: 0.1, 18796: 0.1, 22591: 0.1, 18799: 0.1, 35897: 0.1, 22596: 0.0, 31109: 0.0, 19988: 0.0}"
page that display the questions  with options,"[30849, 59473, 60424, 37796, 56520, 59472, 50286, 30245, 59470, 59478, 44436, 37797, 66489, 4505, 37795, 7519, 2274, 71647, 52303, 6888]",14.957692000025418,70482,120,70602,"{30849: 1.0, 59473: 1.0, 60424: 1.0, 37796: 0.9, 56520: 0.8, 59472: 0.8, 50286: 0.2, 30245: 0.2, 59470: 0.2, 59478: 0.1, 44436: 0.1, 37797: 0.1, 66489: 0.0, 4505: 0.0, 37795: 0.0, 7519: 0.0, 2274: 0.0, 71647: 0.0, 52303: 0.0, 6888: 0.0}"
